sRGBA,r,g,b,a
1,64,64,64,255
2,108,108,108,255
3,64,64,64,255
4,64,64,64,255
5,64,64,64,255
6,64,64,64,255
7,64,64,64,255
8,64,64,64,255
9,64,64,64,255
10,64,64,64,255
11,64,64,64,255
12,108,108,108,255
13,64,64,64,255
14,64,64,64,255
15,64,64,64,255
16,64,64,64,255
17,64,64,64,255
18,64,64,64,255
19,64,64,64,255
20,64,64,64,255
21,64,64,64,255
22,108,108,108,255
23,64,64,64,255
24,64,64,64,255
25,64,64,64,255
26,64,64,64,255
27,64,64,64,255
28,64,64,64,255
29,64,64,64,255
30,64,64,64,255
31,108,108,108,255
32,64,64,64,255
33,64,64,64,255
34,64,64,64,255
