sRGBA,r,g,b,a
1,109,109,109,255
2,66,66,66,255
3,109,109,109,255
4,66,66,66,255
5,109,109,109,255
6,66,66,66,255
7,109,109,109,255
8,66,66,66,255
9,66,66,66,255
10,66,66,66,255
11,66,66,66,255
12,66,66,66,255
13,66,66,66,255
14,66,66,66,255
15,66,66,66,255
16,66,66,66,255
17,66,66,66,255
18,66,66,66,255
18,66,66,66,255
19,66,66,66,255
20,66,66,66,255
21,66,66,66,255
22,66,66,66,255
23,66,66,66,255
24,66,66,66,255
25,66,66,66,255
26,66,66,66,255
27,66,66,66,255
28,66,66,66,255
29,66,66,66,255
30,66,66,66,255
31,66,66,66,255
