sRGBA,r,g,b,a
1,231,231,231,255
2,244,244,244,255
3,231,231,231,255
4,231,231,231,255
5,231,231,231,255
6,231,231,231,255
7,231,231,231,255
8,231,231,231,255
9,231,231,231,255
10,231,231,231,255
11,231,231,231,255
12,244,244,244,255
13,231,231,231,255
14,231,231,231,255
15,231,231,231,255
16,231,231,231,255
17,231,231,231,255
18,231,231,231,255
19,231,231,231,255
20,231,231,231,255
21,231,231,231,255
22,243,243,243,255
23,231,231,231,255
24,231,231,231,255
25,231,231,231,255
26,231,231,231,255
27,231,231,231,255
28,231,231,231,255
29,231,231,231,255
30,231,231,231,255
31,244,244,244,255
32,231,231,231,255
33,231,231,231,255
34,231,231,231,255
