sRGBA,r,g,b,a
1,177,177,177,255
2,195,195,195,255
3,177,177,177,255
4,195,195,195,255
5,177,177,177,255
6,194,194,194,255
7,177,177,177,255
8,195,195,195,255
9,195,195,195,255
10,195,195,195,255
11,195,195,195,255
12,195,195,195,255
13,195,195,195,255
14,195,195,195,255
15,195,195,195,255
16,195,195,195,255
17,195,195,195,255
18,195,195,195,255
19,195,195,195,255
20,195,195,195,255
21,195,195,195,255
22,195,195,195,255
23,195,195,195,255
24,195,195,195,255
25,195,195,195,255
26,195,195,195,255
27,195,195,195,255
28,195,195,195,255
29,195,195,195,255
30,195,195,195,255
31,195,195,195,255
32,195,195,195,255
