sRGBA,r,g,b,a
1,194,194,194,255
2,209,209,209,255
3,209,209,209,255
4,209,209,209,255
5,209,209,209,255
6,209,209,209,255
7,194,194,194,255
8,194,194,194,255
9,194,194,194,255
10,194,194,194,255
11,194,194,194,255
12,209,209,209,255
13,209,209,209,255
14,209,209,209,255
15,209,209,209,255
16,209,209,209,255
17,194,194,194,255
18,194,194,194,255
18,194,194,194,255
19,194,194,194,255
20,194,194,194,255
21,209,209,209,255
22,209,209,209,255
23,209,209,209,255
24,209,209,209,255
25,194,194,194,255
26,194,194,194,255
27,194,194,194,255
28,194,194,194,255
29,194,194,194,255
30,209,209,209,255
31,209,209,209,255
32,209,209,209,255
33,209,209,209,255
