sRGBA,r,g,b,a
1,159,159,159,255
2,137,137,137,255
3,159,159,159,255
4,137,137,137,255
5,159,159,159,255
6,137,137,137,255
7,159,159,159,255
8,137,137,137,255
9,137,137,137,255
10,137,137,137,255
11,137,137,137,255
12,137,137,137,255
13,137,137,137,255
14,137,137,137,255
15,137,137,137,255
16,137,137,137,255
17,137,137,137,255
18,137,137,137,255
19,137,137,137,255
20,137,137,137,255
21,137,137,137,255
22,137,137,137,255
23,137,137,137,255
24,137,137,137,255
25,137,137,137,255
26,137,137,137,255
27,137,137,137,255
28,137,137,137,255
29,137,137,137,255
30,137,137,137,255
31,137,137,137,255
32,137,137,137,255
