sRGBA,r,g,b,a
1,158,158,158,255
2,178,178,178,255
3,178,178,178,255
4,178,178,178,255
5,178,178,178,255
6,178,178,178,255
7,158,158,158,255
8,158,158,158,255
9,158,158,158,255
10,158,158,158,255
11,158,158,158,255
12,178,178,178,255
13,178,178,178,255
14,178,178,178,255
15,178,178,178,255
16,178,178,178,255
17,158,158,158,255
18,158,158,158,255
19,158,158,158,255
20,158,158,158,255
21,158,158,158,255
22,178,178,178,255
23,178,178,178,255
24,178,178,178,255
25,178,178,178,255
26,158,158,158,255
27,158,158,158,255
28,158,158,158,255
29,158,158,158,255
30,158,158,158,255
31,178,178,178,255
32,178,178,178,255
33,178,178,178,255
34,178,178,178,255
