sRGBA,r,g,b,a
1,243,243,243,255
2,230,230,230,255
3,243,243,243,255
4,230,230,230,255
5,243,243,243,255
6,230,230,230,255
7,243,243,243,255
8,230,230,230,255
9,230,230,230,255
10,230,230,230,255
11,230,230,230,255
12,230,230,230,255
13,230,230,230,255
14,230,230,230,255
15,230,230,230,255
16,230,230,230,255
17,230,230,230,255
18,230,230,230,255
19,230,230,230,255
20,230,230,230,255
21,230,230,230,255
22,230,230,230,255
23,230,230,230,255
24,230,230,230,255
25,230,230,230,255
26,230,230,230,255
27,230,230,230,255
28,230,230,230,255
29,230,230,230,255
30,230,230,230,255
31,230,230,230,255
32,230,230,230,255
