sRGBA,r,g,b,a
1,108,108,108,255
2,136,136,136,255
3,158,158,158,255
4,108,108,108,255
5,108,108,108,255
6,108,108,108,255
7,108,108,108,255
8,108,108,108,255
9,108,108,108,255
10,108,108,108,255
11,108,108,108,255
12,158,158,158,255
13,136,136,136,255
14,108,108,108,255
15,108,108,108,255
16,108,108,108,255
17,108,108,108,255
18,108,108,108,255
18,108,108,108,255
19,108,108,108,255
20,108,108,108,255
21,136,136,136,255
22,158,158,158,255
23,136,136,136,255
24,108,108,108,255
25,108,108,108,255
26,108,108,108,255
27,108,108,108,255
28,108,108,108,255
29,108,108,108,255
30,136,136,136,255
31,158,158,158,255
32,108,108,108,255
33,108,108,108,255
