sRGBA,r,g,b,a
1,158,158,158,255
2,177,177,177,255
3,194,194,194,255
4,158,158,158,255
5,158,158,158,255
6,158,158,158,255
7,158,158,158,255
8,158,158,158,255
9,158,158,158,255
10,158,158,158,255
11,158,158,158,255
12,194,194,194,255
13,177,177,177,255
14,158,158,158,255
15,158,158,158,255
16,158,158,158,255
17,158,158,158,255
18,158,158,158,255
19,158,158,158,255
20,158,158,158,255
21,158,158,158,255
22,177,177,177,255
23,194,194,194,255
24,177,177,177,255
25,158,158,158,255
26,158,158,158,255
27,158,158,158,255
28,158,158,158,255
29,158,158,158,255
30,158,158,158,255
31,177,177,177,255
32,194,194,194,255
33,158,158,158,255
34,158,158,158,255
