sRGBA,r,g,b,a
1,138,138,138,255
2,108,108,108,255
3,138,138,138,255
4,138,138,138,255
5,138,138,138,255
6,138,138,138,255
7,138,138,138,255
8,138,138,138,255
9,138,138,138,255
10,138,138,138,255
11,138,138,138,255
12,108,108,108,255
13,138,138,138,255
14,138,138,138,255
15,138,138,138,255
16,138,138,138,255
17,138,138,138,255
18,138,138,138,255
18,138,138,138,255
19,138,138,138,255
20,138,138,138,255
21,108,108,108,255
22,138,138,138,255
23,138,138,138,255
24,138,138,138,255
25,138,138,138,255
26,138,138,138,255
27,138,138,138,255
28,138,138,138,255
29,138,138,138,255
30,138,138,138,255
31,108,108,108,255
32,138,138,138,255
33,138,138,138,255
