sRGBA,r,g,b,a
1,64,64,64,255
2,109,109,109,255
3,109,109,109,255
4,109,109,109,255
5,109,109,109,255
6,109,109,109,255
7,64,64,64,255
8,64,64,64,255
9,64,64,64,255
10,64,64,64,255
11,64,64,64,255
12,109,109,109,255
13,109,109,109,255
14,109,109,109,255
15,109,109,109,255
16,109,109,109,255
17,64,64,64,255
18,64,64,64,255
19,64,64,64,255
20,64,64,64,255
21,64,64,64,255
22,109,109,109,255
23,109,109,109,255
24,109,109,109,255
25,109,109,109,255
26,64,64,64,255
27,64,64,64,255
28,64,64,64,255
29,64,64,64,255
30,64,64,64,255
31,109,109,109,255
32,109,109,109,255
33,109,109,109,255
34,109,109,109,255
