sRGBA,r,g,b,a
1,138,138,138,255
2,110,110,110,255
3,138,138,138,255
4,110,110,110,255
5,138,138,138,255
6,110,110,110,255
7,138,138,138,255
8,110,110,110,255
9,110,110,110,255
10,110,110,110,255
11,110,110,110,255
12,110,110,110,255
13,110,110,110,255
14,110,110,110,255
15,110,110,110,255
16,110,110,110,255
17,110,110,110,255
18,110,110,110,255
18,110,110,110,255
19,110,110,110,255
20,110,110,110,255
21,110,110,110,255
22,110,110,110,255
23,110,110,110,255
24,110,110,110,255
25,110,110,110,255
26,110,110,110,255
27,110,110,110,255
28,110,110,110,255
29,110,110,110,255
30,110,110,110,255
31,110,110,110,255
