sRGBA,r,g,b,a
1,231,231,231,255
2,244,244,244,255
3,231,231,231,255
4,244,244,244,255
5,231,231,231,255
6,244,244,244,255
7,231,231,231,255
8,244,244,244,255
9,244,244,244,255
10,244,244,244,255
11,244,244,244,255
12,244,244,244,255
13,244,244,244,255
14,244,244,244,255
15,244,244,244,255
16,244,244,244,255
17,244,244,244,255
18,244,244,244,255
19,244,244,244,255
20,244,244,244,255
21,244,244,244,255
22,244,244,244,255
23,244,244,244,255
24,244,244,244,255
25,244,244,244,255
26,244,244,244,255
27,244,244,244,255
28,244,244,244,255
29,244,244,244,255
30,244,244,244,255
31,244,244,244,255
32,244,244,244,255
