sRGBA,r,g,b,a
1,222,222,222,255
2,234,234,234,255
3,246,246,246,255
4,222,222,222,255
5,222,222,222,255
6,222,222,222,255
7,222,222,222,255
8,222,222,222,255
9,222,222,222,255
10,222,222,222,255
11,222,222,222,255
12,246,246,246,255
13,234,234,234,255
14,222,222,222,255
15,222,222,222,255
16,222,222,222,255
17,222,222,222,255
18,222,222,222,255
18,222,222,222,255
19,222,222,222,255
20,222,222,222,255
21,234,234,234,255
22,246,246,246,255
23,234,234,234,255
24,222,222,222,255
25,222,222,222,255
26,222,222,222,255
27,222,222,222,255
28,222,222,222,255
29,222,222,222,255
30,234,234,234,255
31,246,246,246,255
32,222,222,222,255
33,222,222,222,255
