sRGBA,r,g,b,a
1,108,108,108,255
2,136,136,136,255
3,136,136,136,255
4,136,136,136,255
5,136,136,136,255
6,136,136,136,255
7,108,108,108,255
8,108,108,108,255
9,108,108,108,255
10,108,108,108,255
11,108,108,108,255
12,136,136,136,255
13,136,136,136,255
14,136,136,136,255
15,136,136,136,255
16,136,136,136,255
17,108,108,108,255
18,108,108,108,255
18,108,108,108,255
19,108,108,108,255
20,108,108,108,255
21,136,136,136,255
22,136,136,136,255
23,136,136,136,255
24,136,136,136,255
25,108,108,108,255
26,108,108,108,255
27,108,108,108,255
28,108,108,108,255
29,108,108,108,255
30,136,136,136,255
31,136,136,136,255
32,136,136,136,255
33,136,136,136,255
