sRGBA,r,g,b,a
1,177,177,177,255
2,194,194,194,255
3,209,209,209,255
4,177,177,177,255
5,177,177,177,255
6,177,177,177,255
7,177,177,177,255
8,177,177,177,255
9,177,177,177,255
10,177,177,177,255
11,177,177,177,255
12,209,209,209,255
13,194,194,194,255
14,177,177,177,255
15,177,177,177,255
16,177,177,177,255
17,177,177,177,255
18,177,177,177,255
18,177,177,177,255
19,177,177,177,255
20,177,177,177,255
21,194,194,194,255
22,209,209,209,255
23,194,194,194,255
24,177,177,177,255
25,177,177,177,255
26,177,177,177,255
27,177,177,177,255
28,177,177,177,255
29,177,177,177,255
30,194,194,194,255
31,209,209,209,255
32,177,177,177,255
33,177,177,177,255
