sRGBA,r,g,b,a
1,177,177,177,255
2,195,195,195,255
3,195,195,195,255
4,195,195,195,255
5,195,195,195,255
6,195,195,195,255
7,177,177,177,255
8,177,177,177,255
9,177,177,177,255
10,177,177,177,255
11,177,177,177,255
12,194,194,194,255
13,194,194,194,255
14,194,194,194,255
15,194,194,194,255
16,194,194,194,255
17,177,177,177,255
18,177,177,177,255
19,177,177,177,255
20,177,177,177,255
21,177,177,177,255
22,195,195,195,255
23,195,195,195,255
24,195,195,195,255
25,195,195,195,255
26,177,177,177,255
27,177,177,177,255
28,177,177,177,255
29,177,177,177,255
30,177,177,177,255
31,195,195,195,255
32,195,195,195,255
33,195,195,195,255
34,195,195,195,255
