sRGBA,r,g,b,a
1,209,209,209,255
2,222,222,222,255
3,234,234,234,255
4,209,209,209,255
5,209,209,209,255
6,209,209,209,255
7,209,209,209,255
8,209,209,209,255
9,209,209,209,255
10,209,209,209,255
11,209,209,209,255
12,234,234,234,255
13,222,222,222,255
14,209,209,209,255
15,209,209,209,255
16,209,209,209,255
17,209,209,209,255
18,209,209,209,255
19,209,209,209,255
20,209,209,209,255
21,209,209,209,255
22,222,222,222,255
23,234,234,234,255
24,222,222,222,255
25,209,209,209,255
26,209,209,209,255
27,209,209,209,255
28,209,209,209,255
29,209,209,209,255
30,209,209,209,255
31,222,222,222,255
32,234,234,234,255
33,209,209,209,255
34,209,209,209,255
