sRGBA,r,g,b,a
1,195,195,195,255
2,179,179,179,255
3,195,195,195,255
4,179,179,179,255
5,195,195,195,255
6,179,179,179,255
7,195,195,195,255
8,179,179,179,255
9,179,179,179,255
10,179,179,179,255
11,179,179,179,255
12,179,179,179,255
13,179,179,179,255
14,179,179,179,255
15,179,179,179,255
16,179,179,179,255
17,179,179,179,255
18,179,179,179,255
19,179,179,179,255
20,179,179,179,255
21,179,179,179,255
22,179,179,179,255
23,179,179,179,255
24,179,179,179,255
25,179,179,179,255
26,179,179,179,255
27,179,179,179,255
28,179,179,179,255
29,179,179,179,255
30,179,179,179,255
31,179,179,179,255
32,179,179,179,255
