sRGBA,r,g,b,a
1,108,108,108,255
2,138,138,138,255
3,108,108,108,255
4,138,138,138,255
5,108,108,108,255
6,138,138,138,255
7,108,108,108,255
8,108,108,108,255
9,108,108,108,255
10,108,108,108,255
11,108,108,108,255
12,108,108,108,255
13,108,108,108,255
14,108,108,108,255
15,108,108,108,255
16,108,108,108,255
17,108,108,108,255
18,108,108,108,255
18,108,108,108,255
19,108,108,108,255
20,108,108,108,255
21,108,108,108,255
22,108,108,108,255
23,108,108,108,255
24,108,108,108,255
25,108,108,108,255
26,108,108,108,255
27,108,108,108,255
28,108,108,108,255
29,108,108,108,255
30,108,108,108,255
31,108,108,108,255
