sRGBA,r,g,b,a
1,139,50,50,255
2,38,88,88,255
3,149,34,68,255
4,79,72,133,255
5,158,5,81,255
6,128,22,169,255
7,158,5,81,255
8,128,22,169,255
9,128,22,169,255
10,128,22,169,255
11,128,22,169,255
12,128,22,169,255
13,128,22,169,255
14,128,22,169,255
15,128,22,169,255
16,128,22,169,255
17,128,22,169,255
18,128,22,169,255
18,128,22,169,255
19,128,22,169,255
20,128,22,169,255
21,128,22,169,255
22,128,22,169,255
23,128,22,169,255
24,128,22,169,255
25,128,22,169,255
26,128,22,169,255
27,128,22,169,255
28,128,22,169,255
29,128,22,169,255
30,128,22,169,255
31,128,22,169,255
