sRGBA,r,g,b,a
1,197,9,102,255
2,160,30,210,255
3,160,30,210,255
4,160,30,210,255
5,160,30,210,255
6,160,30,210,255
7,173,64,64,255
8,173,64,64,255
9,173,64,64,255
10,173,64,64,255
11,173,64,64,255
12,24,112,112,255
13,24,112,112,255
14,24,112,112,255
15,24,112,112,255
16,24,112,112,255
17,186,45,87,255
18,186,45,87,255
18,186,45,87,255
19,186,45,87,255
20,186,45,87,255
21,108,89,163,255
22,108,89,163,255
23,108,89,163,255
24,108,89,163,255
25,173,64,64,255
26,173,64,64,255
27,173,64,64,255
28,173,64,64,255
29,173,64,64,255
30,24,112,112,255
31,24,112,112,255
32,24,112,112,255
33,24,112,112,255
