sRGBA,r,g,b,a
1,196,74,74,255
2,29,127,127,255
3,196,74,74,255
4,29,127,127,255
5,210,52,99,255
6,113,104,188,255
7,222,11,116,255
8,222,11,116,255
9,222,11,116,255
10,222,11,116,255
11,222,11,116,255
12,222,11,116,255
13,222,11,116,255
14,222,11,116,255
15,222,11,116,255
16,222,11,116,255
17,222,11,116,255
18,222,11,116,255
18,222,11,116,255
19,222,11,116,255
20,222,11,116,255
21,222,11,116,255
22,222,11,116,255
23,222,11,116,255
24,222,11,116,255
25,222,11,116,255
26,222,11,116,255
27,222,11,116,255
28,222,11,116,255
29,222,11,116,255
30,222,11,116,255
31,222,11,116,255
