sRGBA,r,g,b,a
1,233,13,122,255
2,193,36,241,255
3,193,36,241,255
4,193,36,241,255
5,193,36,241,255
6,193,36,241,255
7,233,13,122,255
8,233,13,122,255
9,233,13,122,255
10,233,13,122,255
11,233,13,122,255
12,193,36,241,255
13,193,36,241,255
14,193,36,241,255
15,193,36,241,255
16,193,36,241,255
17,233,13,122,255
18,233,13,122,255
18,233,13,122,255
19,233,13,122,255
20,233,13,122,255
21,193,36,241,255
22,193,36,241,255
23,193,36,241,255
24,193,36,241,255
25,233,13,122,255
26,233,13,122,255
27,233,13,122,255
28,233,13,122,255
29,233,13,122,255
30,193,36,241,255
31,193,36,241,255
32,193,36,241,255
33,193,36,241,255
