sRGBA,r,g,b,a
1,109,22,48,255
2,61,49,94,255
3,109,22,48,255
4,61,49,94,255
5,109,22,48,255
6,61,49,94,255
7,109,22,48,255
8,61,49,94,255
9,61,49,94,255
10,61,49,94,255
11,61,49,94,255
12,61,49,94,255
13,61,49,94,255
14,61,49,94,255
15,61,49,94,255
16,61,49,94,255
17,61,49,94,255
18,61,49,94,255
19,61,49,94,255
20,61,49,94,255
21,61,49,94,255
22,61,49,94,255
23,61,49,94,255
24,61,49,94,255
25,61,49,94,255
26,61,49,94,255
27,61,49,94,255
28,61,49,94,255
29,61,49,94,255
30,61,49,94,255
31,61,49,94,255
32,61,49,94,255
