sRGBA,r,g,b,a
1,197,9,102,255
2,163,29,204,255
3,163,29,204,255
4,163,29,204,255
5,163,29,204,255
6,163,29,204,255
7,197,9,102,255
8,197,9,102,255
9,197,9,102,255
10,197,9,102,255
11,197,9,102,255
12,163,29,204,255
13,163,29,204,255
14,163,29,204,255
15,163,29,204,255
16,163,29,204,255
17,197,9,102,255
18,197,9,102,255
19,197,9,102,255
20,197,9,102,255
21,197,9,102,255
22,163,29,204,255
23,163,29,204,255
24,163,29,204,255
25,163,29,204,255
26,197,9,102,255
27,197,9,102,255
28,197,9,102,255
29,197,9,102,255
30,197,9,102,255
31,163,29,204,255
32,163,29,204,255
33,163,29,204,255
34,163,29,204,255
