sRGBA,r,g,b,a
1,192,9,101,255
2,160,30,210,255
3,160,30,210,255
4,160,30,210,255
5,160,30,210,255
6,160,30,210,255
7,192,9,101,255
8,192,9,101,255
9,192,9,101,255
10,192,9,101,255
11,192,9,101,255
12,160,30,210,255
13,160,30,210,255
14,160,30,210,255
15,160,30,210,255
16,160,30,210,255
17,192,9,101,255
18,192,9,101,255
19,192,9,101,255
20,192,9,101,255
21,192,9,101,255
22,160,30,210,255
23,160,30,210,255
24,160,30,210,255
25,160,30,210,255
26,192,9,101,255
27,192,9,101,255
28,192,9,101,255
29,192,9,101,255
30,192,9,101,255
31,160,30,210,255
32,160,30,210,255
33,160,30,210,255
34,160,30,210,255
