sRGBA,r,g,b,a
1,139,50,50,255
2,17,89,89,255
3,17,89,89,255
4,17,89,89,255
5,17,89,89,255
6,17,89,89,255
7,149,34,68,255
8,149,34,68,255
9,149,34,68,255
10,149,34,68,255
11,149,34,68,255
12,79,72,133,255
13,79,72,133,255
14,79,72,133,255
15,79,72,133,255
16,79,72,133,255
17,158,5,81,255
18,158,5,81,255
19,158,5,81,255
20,158,5,81,255
21,158,5,81,255
22,128,22,169,255
23,128,22,169,255
24,128,22,169,255
25,128,22,169,255
26,158,5,81,255
27,158,5,81,255
28,158,5,81,255
29,158,5,81,255
30,158,5,81,255
31,128,22,169,255
32,128,22,169,255
33,128,22,169,255
34,128,22,169,255
