sRGBA,r,g,b,a
1,115,3,57,255
2,94,12,119,255
3,94,12,119,255
4,94,12,119,255
5,94,12,119,255
6,94,12,119,255
7,115,3,57,255
8,115,3,57,255
9,115,3,57,255
10,115,3,57,255
11,115,3,57,255
12,94,12,119,255
13,94,12,119,255
14,94,12,119,255
15,94,12,119,255
16,94,12,119,255
17,115,3,57,255
18,115,3,57,255
18,115,3,57,255
19,115,3,57,255
20,115,3,57,255
21,94,12,119,255
22,94,12,119,255
23,94,12,119,255
24,94,12,119,255
25,115,3,57,255
26,115,3,57,255
27,115,3,57,255
28,115,3,57,255
29,115,3,57,255
30,94,12,119,255
31,94,12,119,255
32,94,12,119,255
33,94,12,119,255
