sRGBA,r,g,b,a
1,186,45,87,255
2,108,89,163,255
3,108,89,163,255
4,108,89,163,255
5,108,89,163,255
6,108,89,163,255
7,186,45,87,255
8,186,45,87,255
9,186,45,87,255
10,186,45,87,255
11,186,45,87,255
12,108,89,163,255
13,108,89,163,255
14,108,89,163,255
15,108,89,163,255
16,108,89,163,255
17,186,45,87,255
18,186,45,87,255
18,186,45,87,255
19,186,45,87,255
20,186,45,87,255
21,108,89,163,255
22,108,89,163,255
23,108,89,163,255
24,108,89,163,255
25,186,45,87,255
26,186,45,87,255
27,186,45,87,255
28,186,45,87,255
29,186,45,87,255
30,108,89,163,255
31,108,89,163,255
32,108,89,163,255
33,108,89,163,255
