sRGBA,r,g,b,a
1,31,134,134,255
2,205,78,78,255
3,190,37,248,255
4,233,13,122,255
5,119,109,197,255
6,220,55,104,255
7,31,134,134,255
8,31,134,134,255
9,31,134,134,255
10,31,134,134,255
11,31,134,134,255
12,31,134,134,255
13,31,134,134,255
14,31,134,134,255
15,31,134,134,255
16,31,134,134,255
17,31,134,134,255
18,31,134,134,255
19,31,134,134,255
20,31,134,134,255
21,31,134,134,255
22,31,134,134,255
23,31,134,134,255
24,31,134,134,255
25,31,134,134,255
26,31,134,134,255
27,31,134,134,255
28,31,134,134,255
29,31,134,134,255
30,31,134,134,255
31,31,134,134,255
32,31,134,134,255
