sRGBA,r,g,b,a
1,109,22,48,255
2,56,50,96,255
3,109,22,48,255
4,109,22,48,255
5,109,22,48,255
6,109,22,48,255
7,109,22,48,255
8,109,22,48,255
9,109,22,48,255
10,109,22,48,255
11,109,22,48,255
12,56,50,96,255
13,109,22,48,255
14,109,22,48,255
15,109,22,48,255
16,109,22,48,255
17,109,22,48,255
18,109,22,48,255
18,109,22,48,255
19,109,22,48,255
20,109,22,48,255
21,56,50,96,255
22,109,22,48,255
23,109,22,48,255
24,109,22,48,255
25,109,22,48,255
26,109,22,48,255
27,109,22,48,255
28,109,22,48,255
29,109,22,48,255
30,56,50,96,255
31,109,22,48,255
32,109,22,48,255
33,109,22,48,255
