sRGBA,r,g,b,a
1,31,134,134,255
2,205,78,78,255
3,190,37,248,255
4,190,37,248,255
5,190,37,248,255
6,190,37,248,255
7,190,37,248,255
8,190,37,248,255
9,190,37,248,255
10,190,37,248,255
11,190,37,248,255
12,233,13,122,255
13,119,109,197,255
14,119,109,197,255
15,119,109,197,255
16,119,109,197,255
17,119,109,197,255
18,119,109,197,255
19,119,109,197,255
20,119,109,197,255
21,119,109,197,255
22,220,55,104,255
23,31,134,134,255
24,31,134,134,255
25,31,134,134,255
26,31,134,134,255
27,31,134,134,255
28,31,134,134,255
29,31,134,134,255
30,31,134,134,255
31,204,78,78,255
32,119,109,197,255
33,119,109,197,255
34,119,109,197,255
