sRGBA,r,g,b,a
1,217,55,103,255
2,119,109,197,255
3,217,55,103,255
4,217,55,103,255
5,217,55,103,255
6,217,55,103,255
7,217,55,103,255
8,217,55,103,255
9,217,55,103,255
10,217,55,103,255
11,217,55,103,255
12,119,109,197,255
13,217,55,103,255
14,217,55,103,255
15,217,55,103,255
16,217,55,103,255
17,217,55,103,255
18,217,55,103,255
19,217,55,103,255
20,217,55,103,255
21,217,55,103,255
22,119,109,197,255
23,217,55,103,255
24,217,55,103,255
25,217,55,103,255
26,217,55,103,255
27,217,55,103,255
28,217,55,103,255
29,217,55,103,255
30,217,55,103,255
31,119,109,197,255
32,217,55,103,255
33,217,55,103,255
34,217,55,103,255
