sRGBA,r,g,b,a
1,109,22,48,255
2,61,49,94,255
3,61,49,94,255
4,61,49,94,255
5,61,49,94,255
6,61,49,94,255
7,109,22,48,255
8,109,22,48,255
9,109,22,48,255
10,109,22,48,255
11,109,22,48,255
12,61,49,94,255
13,61,49,94,255
14,61,49,94,255
15,61,49,94,255
16,61,49,94,255
17,109,22,48,255
18,109,22,48,255
18,109,22,48,255
19,109,22,48,255
20,109,22,48,255
21,61,49,94,255
22,61,49,94,255
23,61,49,94,255
24,61,49,94,255
25,109,22,48,255
26,109,22,48,255
27,109,22,48,255
28,109,22,48,255
29,109,22,48,255
30,61,49,94,255
31,61,49,94,255
32,61,49,94,255
33,61,49,94,255
