sRGBA,r,g,b,a
1,25,62,62,255
2,101,34,34,255
3,92,13,123,255
4,115,3,57,255
5,56,50,96,255
6,109,22,48,255
7,56,50,96,255
8,109,22,48,255
9,109,22,48,255
10,109,22,48,255
11,109,22,48,255
12,109,22,48,255
13,109,22,48,255
14,109,22,48,255
15,109,22,48,255
16,109,22,48,255
17,109,22,48,255
18,109,22,48,255
19,109,22,48,255
20,109,22,48,255
21,109,22,48,255
22,109,22,48,255
23,109,22,48,255
24,109,22,48,255
25,109,22,48,255
26,109,22,48,255
27,109,22,48,255
28,109,22,48,255
29,109,22,48,255
30,109,22,48,255
31,109,22,48,255
32,109,22,48,255
