sRGBA,r,g,b,a
1,9,63,63,255
2,101,34,34,255
3,92,13,123,255
4,92,13,123,255
5,92,13,123,255
6,92,13,123,255
7,92,13,123,255
8,92,13,123,255
9,92,13,123,255
10,92,13,123,255
11,92,13,123,255
12,115,3,57,255
13,56,50,96,255
14,56,50,96,255
15,56,50,96,255
16,56,50,96,255
17,56,50,96,255
18,56,50,96,255
19,56,50,96,255
20,56,50,96,255
21,56,50,96,255
22,109,22,48,255
23,56,50,96,255
24,56,50,96,255
25,56,50,96,255
26,56,50,96,255
27,56,50,96,255
28,56,50,96,255
29,56,50,96,255
30,56,50,96,255
31,56,50,96,255
32,109,22,48,255
33,9,63,63,255
34,9,63,63,255
