sRGBA,r,g,b,a
1,228,13,121,255
2,190,37,248,255
3,190,37,248,255
4,190,37,248,255
5,190,37,248,255
6,190,37,248,255
7,228,13,121,255
8,228,13,121,255
9,228,13,121,255
10,228,13,121,255
11,228,13,121,255
12,190,37,248,255
13,190,37,248,255
14,190,37,248,255
15,190,37,248,255
16,190,37,248,255
17,228,13,121,255
18,228,13,121,255
18,228,13,121,255
19,228,13,121,255
20,228,13,121,255
21,190,37,248,255
22,190,37,248,255
23,190,37,248,255
24,190,37,248,255
25,228,13,121,255
26,228,13,121,255
27,228,13,121,255
28,228,13,121,255
29,228,13,121,255
30,190,37,248,255
31,190,37,248,255
32,190,37,248,255
33,190,37,248,255
