sRGBA,r,g,b,a
1,197,9,102,255
2,160,30,210,255
3,160,30,210,255
4,160,30,210,255
5,160,30,210,255
6,160,30,210,255
7,197,9,102,255
8,197,9,102,255
9,197,9,102,255
10,197,9,102,255
11,197,9,102,255
12,160,30,210,255
13,160,30,210,255
14,160,30,210,255
15,160,30,210,255
16,160,30,210,255
17,197,9,102,255
18,197,9,102,255
18,197,9,102,255
19,197,9,102,255
20,197,9,102,255
21,160,30,210,255
22,160,30,210,255
23,160,30,210,255
24,160,30,210,255
25,160,30,210,255
26,197,9,102,255
27,197,9,102,255
28,197,9,102,255
29,197,9,102,255
30,197,9,102,255
31,160,30,210,255
32,160,30,210,255
33,160,30,210,255
