sRGBA,r,g,b,a
1,101,34,34,255
2,9,63,63,255
3,9,63,63,255
4,9,63,63,255
5,9,63,63,255
6,9,63,63,255
7,101,34,34,255
8,101,34,34,255
9,101,34,34,255
10,101,34,34,255
11,101,34,34,255
12,9,63,63,255
13,9,63,63,255
14,9,63,63,255
15,9,63,63,255
16,9,63,63,255
17,101,34,34,255
18,101,34,34,255
18,101,34,34,255
19,101,34,34,255
20,101,34,34,255
21,9,63,63,255
22,9,63,63,255
23,9,63,63,255
24,9,63,63,255
25,9,63,63,255
26,101,34,34,255
27,101,34,34,255
28,101,34,34,255
29,101,34,34,255
30,101,34,34,255
31,9,63,63,255
32,9,63,63,255
33,9,63,63,255
