sRGBA,r,g,b,a
1,180,35,236,255
2,222,11,116,255
3,122,101,184,255
4,122,101,184,255
5,122,101,184,255
6,122,101,184,255
7,122,101,184,255
8,122,101,184,255
9,122,101,184,255
10,122,101,184,255
11,122,101,184,255
12,210,52,99,255
13,29,127,127,255
14,29,127,127,255
15,29,127,127,255
16,29,127,127,255
17,29,127,127,255
18,29,127,127,255
19,29,127,127,255
20,29,127,127,255
21,29,127,127,255
22,196,74,74,255
23,29,127,127,255
24,29,127,127,255
25,29,127,127,255
26,29,127,127,255
27,29,127,127,255
28,29,127,127,255
29,29,127,127,255
30,29,127,127,255
31,196,74,74,255
32,180,35,236,255
33,180,35,236,255
34,180,35,236,255
