sRGBA,r,g,b,a
1,196,74,74,255
2,29,127,127,255
3,196,74,74,255
4,196,74,74,255
5,196,74,74,255
6,196,74,74,255
7,196,74,74,255
8,196,74,74,255
9,196,74,74,255
10,196,74,74,255
11,196,74,74,255
12,29,127,127,255
13,210,52,99,255
14,210,52,99,255
15,210,52,99,255
16,210,52,99,255
17,210,52,99,255
18,210,52,99,255
19,210,52,99,255
20,210,52,99,255
21,210,52,99,255
22,113,104,188,255
23,222,11,116,255
24,222,11,116,255
25,222,11,116,255
26,222,11,116,255
27,222,11,116,255
28,222,11,116,255
29,222,11,116,255
30,222,11,116,255
31,222,11,116,255
32,180,35,236,255
33,210,52,99,255
34,210,52,99,255
