sRGBA,r,g,b,a
1,180,35,236,255
2,222,11,116,255
3,113,104,188,255
4,210,52,99,255
5,29,127,127,255
6,196,74,74,255
7,29,127,127,255
8,29,127,127,255
9,29,127,127,255
10,29,127,127,255
11,29,127,127,255
12,29,127,127,255
13,29,127,127,255
14,29,127,127,255
15,29,127,127,255
16,29,127,127,255
17,29,127,127,255
18,29,127,127,255
19,29,127,127,255
20,29,127,127,255
21,29,127,127,255
22,29,127,127,255
23,29,127,127,255
24,29,127,127,255
25,29,127,127,255
26,29,127,127,255
27,29,127,127,255
28,29,127,127,255
29,29,127,127,255
30,29,127,127,255
31,29,127,127,255
32,29,127,127,255
