sRGBA,r,g,b,a
1,186,45,87,255
2,100,91,167,255
3,186,45,87,255
4,100,91,167,255
5,186,45,87,255
6,100,91,167,255
7,186,45,87,255
8,186,45,87,255
9,186,45,87,255
10,186,45,87,255
11,186,45,87,255
12,186,45,87,255
13,186,45,87,255
14,186,45,87,255
15,186,45,87,255
16,186,45,87,255
17,186,45,87,255
18,186,45,87,255
18,186,45,87,255
19,186,45,87,255
20,186,45,87,255
21,186,45,87,255
22,186,45,87,255
23,186,45,87,255
24,186,45,87,255
25,186,45,87,255
26,186,45,87,255
27,186,45,87,255
28,186,45,87,255
29,186,45,87,255
30,186,45,87,255
31,186,45,87,255
