sRGBA,r,g,b,a
1,233,13,122,255
2,190,37,248,255
3,190,37,248,255
4,190,37,248,255
5,190,37,248,255
6,190,37,248,255
7,233,13,122,255
8,233,13,122,255
9,233,13,122,255
10,233,13,122,255
11,233,13,122,255
12,190,37,248,255
13,190,37,248,255
14,190,37,248,255
15,190,37,248,255
16,190,37,248,255
17,233,13,122,255
18,233,13,122,255
18,233,13,122,255
19,233,13,122,255
20,233,13,122,255
21,190,37,248,255
22,190,37,248,255
23,190,37,248,255
24,190,37,248,255
25,233,13,122,255
26,233,13,122,255
27,233,13,122,255
28,233,13,122,255
29,233,13,122,255
30,190,37,248,255
31,190,37,248,255
32,190,37,248,255
33,190,37,248,255
