sRGBA,r,g,b,a
1,220,55,104,255
2,119,109,197,255
3,220,55,104,255
4,220,55,104,255
5,220,55,104,255
6,220,55,104,255
7,220,55,104,255
8,220,55,104,255
9,220,55,104,255
10,220,55,104,255
11,220,55,104,255
12,119,109,197,255
13,220,55,104,255
14,220,55,104,255
15,220,55,104,255
16,220,55,104,255
17,220,55,104,255
18,220,55,104,255
19,220,55,104,255
20,220,55,104,255
21,220,55,104,255
22,119,109,197,255
23,220,55,104,255
24,220,55,104,255
25,220,55,104,255
26,220,55,104,255
27,220,55,104,255
28,220,55,104,255
29,220,55,104,255
30,220,55,104,255
31,119,109,197,255
32,220,55,104,255
33,220,55,104,255
34,220,55,104,255
