sRGBA,r,g,b,a
1,205,78,78,255
2,31,134,134,255
3,205,78,78,255
4,31,134,134,255
5,205,78,78,255
6,31,134,134,255
7,205,78,78,255
8,205,78,78,255
9,205,78,78,255
10,205,78,78,255
11,205,78,78,255
12,205,78,78,255
13,205,78,78,255
14,205,78,78,255
15,205,78,78,255
16,205,78,78,255
17,205,78,78,255
18,205,78,78,255
18,205,78,78,255
19,205,78,78,255
20,205,78,78,255
21,205,78,78,255
22,205,78,78,255
23,205,78,78,255
24,205,78,78,255
25,205,78,78,255
26,205,78,78,255
27,205,78,78,255
28,205,78,78,255
29,205,78,78,255
30,205,78,78,255
31,205,78,78,255
