sRGBA,r,g,b,a
1,139,50,50,255
2,17,89,89,255
3,149,34,68,255
4,149,34,68,255
5,149,34,68,255
6,149,34,68,255
7,149,34,68,255
8,149,34,68,255
9,149,34,68,255
10,149,34,68,255
11,149,34,68,255
12,79,72,133,255
13,153,5,79,255
14,153,5,79,255
15,153,5,79,255
16,153,5,79,255
17,153,5,79,255
18,153,5,79,255
19,153,5,79,255
20,153,5,79,255
21,153,5,79,255
22,128,22,169,255
23,158,5,81,255
24,158,5,81,255
25,158,5,81,255
26,158,5,81,255
27,158,5,81,255
28,158,5,81,255
29,158,5,81,255
30,158,5,81,255
31,128,22,169,255
32,149,34,68,255
33,149,34,68,255
34,149,34,68,255
