sRGBA,r,g,b,a
1,173,64,64,255
2,49,110,110,255
3,173,64,64,255
4,49,110,110,255
5,173,64,64,255
6,49,110,110,255
7,173,64,64,255
8,49,110,110,255
9,49,110,110,255
10,49,110,110,255
11,49,110,110,255
12,49,110,110,255
13,49,110,110,255
14,49,110,110,255
15,49,110,110,255
16,49,110,110,255
17,49,110,110,255
18,49,110,110,255
18,49,110,110,255
19,49,110,110,255
20,49,110,110,255
21,49,110,110,255
22,49,110,110,255
23,49,110,110,255
24,49,110,110,255
25,49,110,110,255
26,49,110,110,255
27,49,110,110,255
28,49,110,110,255
29,49,110,110,255
30,49,110,110,255
31,49,110,110,255
