sRGBA,r,g,b,a
1,109,22,48,255
2,56,50,96,255
3,101,34,34,255
4,101,34,34,255
5,101,34,34,255
6,101,34,34,255
7,101,34,34,255
8,101,34,34,255
9,101,34,34,255
10,101,34,34,255
11,101,34,34,255
12,9,63,63,255
13,115,3,57,255
14,115,3,57,255
15,115,3,57,255
16,115,3,57,255
17,115,3,57,255
18,115,3,57,255
18,115,3,57,255
19,115,3,57,255
20,115,3,57,255
21,92,13,123,255
22,101,34,34,255
23,101,34,34,255
24,101,34,34,255
25,101,34,34,255
26,101,34,34,255
27,101,34,34,255
28,101,34,34,255
29,101,34,34,255
30,9,63,63,255
31,109,22,48,255
32,109,22,48,255
33,109,22,48,255
