sRGBA,r,g,b,a
1,173,64,64,255
2,49,110,110,255
3,49,110,110,255
4,49,110,110,255
5,49,110,110,255
6,49,110,110,255
7,173,64,64,255
8,173,64,64,255
9,173,64,64,255
10,173,64,64,255
11,173,64,64,255
12,49,110,110,255
13,49,110,110,255
14,49,110,110,255
15,49,110,110,255
16,49,110,110,255
17,173,64,64,255
18,173,64,64,255
18,173,64,64,255
19,173,64,64,255
20,173,64,64,255
21,49,110,110,255
22,49,110,110,255
23,49,110,110,255
24,49,110,110,255
25,173,64,64,255
26,173,64,64,255
27,173,64,64,255
28,173,64,64,255
29,173,64,64,255
30,49,110,110,255
31,49,110,110,255
32,49,110,110,255
33,49,110,110,255
