sRGBA,r,g,b,a
1,107,22,48,255
2,56,50,96,255
3,107,22,48,255
4,107,22,48,255
5,107,22,48,255
6,107,22,48,255
7,107,22,48,255
8,107,22,48,255
9,107,22,48,255
10,107,22,48,255
11,107,22,48,255
12,56,50,96,255
13,107,22,48,255
14,107,22,48,255
15,107,22,48,255
16,107,22,48,255
17,107,22,48,255
18,107,22,48,255
19,107,22,48,255
20,107,22,48,255
21,107,22,48,255
22,56,50,96,255
23,107,22,48,255
24,107,22,48,255
25,107,22,48,255
26,107,22,48,255
27,107,22,48,255
28,107,22,48,255
29,107,22,48,255
30,107,22,48,255
31,56,50,96,255
32,107,22,48,255
33,107,22,48,255
34,107,22,48,255
