sRGBA,r,g,b,a
1,173,64,64,255
2,24,112,112,255
3,24,112,112,255
4,24,112,112,255
5,24,112,112,255
6,24,112,112,255
7,173,64,64,255
8,173,64,64,255
9,173,64,64,255
10,173,64,64,255
11,173,64,64,255
12,24,112,112,255
13,24,112,112,255
14,24,112,112,255
15,24,112,112,255
16,24,112,112,255
17,173,64,64,255
18,173,64,64,255
19,173,64,64,255
20,173,64,64,255
21,173,64,64,255
22,24,112,112,255
23,24,112,112,255
24,24,112,112,255
25,24,112,112,255
26,173,64,64,255
27,173,64,64,255
28,173,64,64,255
29,173,64,64,255
30,173,64,64,255
31,24,112,112,255
32,24,112,112,255
33,24,112,112,255
34,24,112,112,255
