sRGBA,r,g,b,a
1,79,72,133,255
2,149,34,68,255
3,17,89,89,255
4,17,89,89,255
5,17,89,89,255
6,17,89,89,255
7,17,89,89,255
8,17,89,89,255
9,17,89,89,255
10,17,89,89,255
11,17,89,89,255
12,139,50,50,255
13,130,21,164,255
14,130,21,164,255
15,130,21,164,255
16,130,21,164,255
17,130,21,164,255
18,130,21,164,255
19,130,21,164,255
20,130,21,164,255
21,130,21,164,255
22,158,5,81,255
23,17,89,89,255
24,17,89,89,255
25,17,89,89,255
26,17,89,89,255
27,17,89,89,255
28,17,89,89,255
29,17,89,89,255
30,17,89,89,255
31,139,50,50,255
32,79,72,133,255
33,79,72,133,255
34,79,72,133,255
