sRGBA,r,g,b,a
1,180,35,236,255
2,222,11,116,255
3,113,104,188,255
4,210,52,99,255
5,29,127,127,255
6,195,74,74,255
7,29,127,127,255
8,196,74,74,255
9,196,74,74,255
10,196,74,74,255
11,196,74,74,255
12,196,74,74,255
13,196,74,74,255
14,196,74,74,255
15,196,74,74,255
16,196,74,74,255
17,196,74,74,255
18,196,74,74,255
19,196,74,74,255
20,196,74,74,255
21,196,74,74,255
22,196,74,74,255
23,196,74,74,255
24,196,74,74,255
25,196,74,74,255
26,196,74,74,255
27,196,74,74,255
28,196,74,74,255
29,196,74,74,255
30,196,74,74,255
31,196,74,74,255
32,196,74,74,255
