sRGBA,r,g,b,a
1,220,55,104,255
2,129,107,193,255
3,129,107,193,255
4,129,107,193,255
5,129,107,193,255
6,129,107,193,255
7,220,55,104,255
8,220,55,104,255
9,220,55,104,255
10,220,55,104,255
11,220,55,104,255
12,129,107,193,255
13,129,107,193,255
14,129,107,193,255
15,129,107,193,255
16,129,107,193,255
17,220,55,104,255
18,220,55,104,255
19,220,55,104,255
20,220,55,104,255
21,220,55,104,255
22,129,107,193,255
23,129,107,193,255
24,129,107,193,255
25,129,107,193,255
26,220,55,104,255
27,220,55,104,255
28,220,55,104,255
29,220,55,104,255
30,220,55,104,255
31,129,107,193,255
32,129,107,193,255
33,129,107,193,255
34,129,107,193,255
