sRGBA,r,g,b,a
1,233,13,122,255
2,190,37,248,255
3,205,78,78,255
4,205,78,78,255
5,205,78,78,255
6,205,78,78,255
7,205,78,78,255
8,205,78,78,255
9,205,78,78,255
10,205,78,78,255
11,205,78,78,255
12,31,134,134,255
13,220,55,104,255
14,220,55,104,255
15,220,55,104,255
16,220,55,104,255
17,220,55,104,255
18,220,55,104,255
19,220,55,104,255
20,220,55,104,255
21,220,55,104,255
22,119,109,197,255
23,233,13,122,255
24,233,13,122,255
25,233,13,122,255
26,233,13,122,255
27,233,13,122,255
28,233,13,122,255
29,233,13,122,255
30,233,13,122,255
31,233,13,122,255
32,190,37,248,255
33,205,78,78,255
34,205,78,78,255
