sRGBA,r,g,b,a
1,107,22,48,255
2,56,50,96,255
3,56,50,96,255
4,56,50,96,255
5,56,50,96,255
6,56,50,96,255
7,107,22,48,255
8,107,22,48,255
9,107,22,48,255
10,107,22,48,255
11,107,22,48,255
12,56,50,96,255
13,56,50,96,255
14,56,50,96,255
15,56,50,96,255
16,56,50,96,255
17,107,22,48,255
18,107,22,48,255
19,107,22,48,255
20,107,22,48,255
21,107,22,48,255
22,56,50,96,255
23,56,50,96,255
24,56,50,96,255
25,56,50,96,255
26,107,22,48,255
27,107,22,48,255
28,107,22,48,255
29,107,22,48,255
30,107,22,48,255
31,56,50,96,255
32,56,50,96,255
33,56,50,96,255
34,56,50,96,255
