sRGBA,r,g,b,a
1,31,134,134,255
2,205,78,78,255
3,190,37,248,255
4,233,13,122,255
5,119,109,197,255
6,220,55,104,255
7,31,134,134,255
8,205,78,78,255
9,205,78,78,255
10,205,78,78,255
11,205,78,78,255
12,205,78,78,255
13,205,78,78,255
14,205,78,78,255
15,205,78,78,255
16,205,78,78,255
17,205,78,78,255
18,205,78,78,255
19,205,78,78,255
20,205,78,78,255
21,205,78,78,255
22,205,78,78,255
23,205,78,78,255
24,205,78,78,255
25,205,78,78,255
26,205,78,78,255
27,205,78,78,255
28,205,78,78,255
29,205,78,78,255
30,205,78,78,255
31,205,78,78,255
32,205,78,78,255
