sRGBA,r,g,b,a
1,205,78,78,255
2,31,134,134,255
3,31,134,134,255
4,31,134,134,255
5,31,134,134,255
6,31,134,134,255
7,205,78,78,255
8,205,78,78,255
9,205,78,78,255
10,205,78,78,255
11,205,78,78,255
12,31,134,134,255
13,31,134,134,255
14,31,134,134,255
15,31,134,134,255
16,31,134,134,255
17,205,78,78,255
18,205,78,78,255
18,205,78,78,255
19,205,78,78,255
20,205,78,78,255
21,31,134,134,255
22,31,134,134,255
23,31,134,134,255
24,31,134,134,255
25,31,134,134,255
26,205,78,78,255
27,205,78,78,255
28,205,78,78,255
29,205,78,78,255
30,205,78,78,255
31,31,134,134,255
32,31,134,134,255
33,31,134,134,255
