sRGBA,r,g,b,a
1,101,34,34,255
2,25,62,62,255
3,101,34,34,255
4,101,34,34,255
5,101,34,34,255
6,101,34,34,255
7,101,34,34,255
8,101,34,34,255
9,101,34,34,255
10,101,34,34,255
11,101,34,34,255
12,25,62,62,255
13,101,34,34,255
14,101,34,34,255
15,101,34,34,255
16,101,34,34,255
17,101,34,34,255
18,101,34,34,255
19,101,34,34,255
20,101,34,34,255
21,101,34,34,255
22,25,62,62,255
23,101,34,34,255
24,101,34,34,255
25,101,34,34,255
26,101,34,34,255
27,101,34,34,255
28,101,34,34,255
29,101,34,34,255
30,101,34,34,255
31,25,62,62,255
32,101,34,34,255
33,101,34,34,255
34,101,34,34,255
