sRGBA,r,g,b,a
1,192,9,101,255
2,160,30,210,255
3,192,9,101,255
4,160,30,210,255
5,192,9,101,255
6,160,30,210,255
7,192,9,101,255
8,160,30,210,255
9,160,30,210,255
10,160,30,210,255
11,160,30,210,255
12,160,30,210,255
13,160,30,210,255
14,160,30,210,255
15,160,30,210,255
16,160,30,210,255
17,160,30,210,255
18,160,30,210,255
18,160,30,210,255
19,160,30,210,255
20,160,30,210,255
21,160,30,210,255
22,160,30,210,255
23,160,30,210,255
24,160,30,210,255
25,160,30,210,255
26,160,30,210,255
27,160,30,210,255
28,160,30,210,255
29,160,30,210,255
30,160,30,210,255
31,160,30,210,255
