sRGBA,r,g,b,a
1,101,34,34,255
2,25,62,62,255
3,25,62,62,255
4,25,62,62,255
5,25,62,62,255
6,25,62,62,255
7,101,34,34,255
8,101,34,34,255
9,101,34,34,255
10,101,34,34,255
11,101,34,34,255
12,25,62,62,255
13,25,62,62,255
14,25,62,62,255
15,25,62,62,255
16,25,62,62,255
17,101,34,34,255
18,101,34,34,255
19,101,34,34,255
20,101,34,34,255
21,101,34,34,255
22,25,62,62,255
23,25,62,62,255
24,25,62,62,255
25,25,62,62,255
26,101,34,34,255
27,101,34,34,255
28,101,34,34,255
29,101,34,34,255
30,101,34,34,255
31,25,62,62,255
32,25,62,62,255
33,25,62,62,255
34,25,62,62,255
